,5-bank asset concentration,Bank capital to total assets (%),Bank cost to income ratio (%),Bank deposits to GDP (%),Bank lending-deposit spread,Bank net interest margin (%),Bank non-performing loans to gross loans (%),Bank regulatory capital to risk-weighted assets (%),Central bank assets to GDP (%),Remittance inflows to GDP (%)
2006 [YR2006],74.5219,16.7,49.37623,32.16842,6.24833,6.694026,4.4,27.8,5.634664,34.49929
2007 [YR2007],66.8164,16.3,42.94213,38.67115,3.815,7.106743,3.7,29.1,4.466583,33.88311
2008 [YR2008],67.86295,17,49.6238,38.27249,3.13,7.905176,5.2,32.2,3.671071,31.18195
2009 [YR2009],70.43779,16.1,60.23357,39.43613,5.60167,4.815229,16.4,32.1,3.698367,24.86202
2010 [YR2010],72.33932,15.9754,61.92218,31.33501,8.69083,6.358395,13.3273,30.1382,2.60248,25.13032
2011 [YR2011],70.10755,15.8413,57.08271,30.59042,6.86518,6.604732,10.6601,30.4167,2.287879,21.5478
2012 [YR2012],72.59741,17.2136,59.69696,34.49649,5.78621,5.160871,14.4996,24.3003,1.98252,22.80861
2013 [YR2013],73.93753,15.0036,62.41853,37.83696,5.06583,3.915915,11.5774,23.3812,1.755555,23.07689
2014 [YR2014],78.77571,13.1659,55.82072,36.30717,5.29583,3.566812,11.729,13.918,1.572267,21.82831
2015 [YR2015],89.41219,16.6945,44.22124,33.27191,2.17853,5.39959,9.94714,26.3119,1.471326,19.88475
2016 [YR2016],87.95727,17.3144,47.17576,33.10221,3.55001,6.552931,16.4052,29.7721,9.707657,18.17783
2017 [YR2017],87.88281,17.097,57.09539,32.42559,4.5901,5.614297,18.3772,31.0306,8.690706,16.93806
2018 [YR2018],87.00589,17.1873,66.32053,32.21372,4.35667,4.919716,12.4917,26.5226,8.046933,16.03983
2019 [YR2019],86.23431,12.5544,60.65174,31.83139,3.64583,5.119842,8.49108,25.252,7.259864,15.9552
2020 [YR2020],94.87215,..,58.19218,37.69745,..,4.292257,..,..,7.297949,15.7499
