,Year,Country,5-bank asset concentration,Bank capital to total assets (%),Bank cost to income ratio (%),Bank deposits to GDP (%),Bank lending-deposit spread,Bank net interest margin (%),Bank non-performing loans to gross loans (%),Bank regulatory capital to risk-weighted assets (%),Central bank assets to GDP (%),Remittance inflows to GDP (%)
0,2006,Russia,34.888220000000004,12.1,56.59345,25.2274,6.35,5.520644,2.4,14.9,0.8590291999999999,0.385924
1,2007,Russia,32.46138,13.3,63.46625,29.32755,4.89167,5.083131,2.5,15.5,0.9958130999999999,0.3590297
2,2008,Russia,29.93835,10.8,65.83478000000001,27.5834,6.46667,5.000647,3.8,16.8,0.8041345,0.34542449999999997
3,2009,Russia,37.37774,13.1,96.44282,35.78986,6.725,4.4760029999999995,9.5,20.9,0.8649190000000001,0.41754250000000004
4,2010,Russia,37.75468,12.8956,98.92865,37.41966,4.80833,4.277080000000001,8.23432,18.0867,0.7034710999999999,0.34428220000000004
5,2011,Russia,36.8982,11.8298,91.5352,37.71967,4.01667,4.15607,6.59014,14.6595,0.5571081999999999,0.2983134
6,2012,Russia,39.95238,11.7821,89.56286999999999,37.816320000000005,3.56667,4.032587,6.02665,13.6936,0.5469624,0.2620904
7,2013,Russia,38.73808,11.4852,88.67815,41.34742,3.875,4.120831,6.00069,13.4626,0.5018792000000001,0.2944772
8,2014,Russia,42.22034,8.53662,91.00304,44.56116,5.1,4.274001999999999,6.73096,12.4942,0.4740754,0.3776409
9,2015,Russia,42.72593,8.92084,38.42937,52.33051,6.52083,3.6097349999999997,8.34723,12.7034,0.6392920999999999,0.5063063
10,2016,Russia,34.40302,10.3603,53.93014,49.81369,5.62917,4.809297,9.44474,13.0721,0.3660305,0.5238674
11,2017,Russia,35.144690000000004,10.5141,48.137170000000005,49.85225,4.69917,6.069787,10.0014,12.0657,0.24106129999999998,0.5231231
12,2018,Russia,43.95353,9.97349,49.57385,49.54984,3.5025,4.271533,10.1236,12.1516,0.1717422,0.5603758000000001
13,2019,Russia,41.68933,10.3847,49.35553,49.800270000000005,3.34917,3.744876,9.2891,12.3307,0.29073530000000003,0.6182399000000001
14,2020,Russia,44.66878,..,56.521069999999995,58.641940000000005,..,3.14883,..,..,0.2785439,0.6630491999999999
0,2006,Belarus,93.57377,17.9,60.064209999999996,..,1.15833,3.384274,2.8,24.4,..,0.7257610999999999
1,2007,Belarus,93.94748,16,61.58452,..,0.266667,6.923622999999999,1.9,19.3,..,0.6367415
2,2008,Belarus,90.55036,18.6,62.33181,..,0.025,5.188442,1.7,21.8,..,0.9599516
3,2009,Belarus,89.07921,16.7,57.637130000000006,23.8384,0.991667,5.418216999999999,4.2,19.8,2.328644,0.9902882
4,2010,Belarus,84.38602,13.6417,54.2052,25.24876,0.125,9.913425,3.5488,20.4509,3.156024,1.005374
5,2011,Belarus,77.03576,13.9765,87.99991999999999,32.0841,0.266667,5.6558589999999995,4.1596,24.7011,0.7860665,1.442085
6,2012,Belarus,80.85036,14.3536,60.37019,26.09104,..,6.755934,5.50187,20.8052,0.3528331,1.603256
7,2013,Belarus,79.63486,13.9622,56.94124,25.79155,..,7.911865,4.44733,15.4964,0.3221304,1.606689
8,2014,Belarus,89.04583000000001,13.3231,57.96929,26.55436,0.158333,9.445017,4.3713,17.3791,0.758571,1.562289
9,2015,Belarus,78.18985,12.822,38.66518,32.74408,..,6.499866,6.83495,18.7364,0.6491838,1.649994
10,2016,Belarus,77.64555,13.4564,51.49017,31.36436,..,8.926131,12.7912,18.5972,0.6072966,2.046407
11,2017,Belarus,81.7347,14.5791,59.32085,32.70935,2.6596,6.886303999999999,12.8522,18.49,0.572302,2.291025
12,2018,Belarus,81.69176,14.6108,64.09406,30.45471,2.775,5.373394,5.01029,17.7182,0.3953229,2.4084119999999998
13,2019,Belarus,81.39584,14.8335,59.7392,31.08832,2.51583,5.34626,4.62788,17.8154,0.3429171,2.2027759999999996
14,2020,Belarus,84.00661,..,56.919669999999996,29.73877,..,4.152258,..,..,0.291265,1.663175
0,2006,Moldova,74.5219,16.7,49.37623,32.168420000000005,6.24833,6.694025999999999,4.4,27.8,5.634664,34.49929
1,2007,Moldova,66.8164,16.3,42.94213,38.67115,3.815,7.106742999999999,3.7,29.1,4.466583,33.883109999999995
2,2008,Moldova,67.86295,17,49.6238,38.272490000000005,3.13,7.905175999999999,5.2,32.2,3.671071,31.18195
3,2009,Moldova,70.43779,16.1,60.23356999999999,39.43613,5.60167,4.815229,16.4,32.1,3.6983669999999997,24.86202
4,2010,Moldova,72.33932,15.9754,61.922180000000004,31.335009999999997,8.69083,6.358395,13.3273,30.1382,2.60248,25.13032
5,2011,Moldova,70.10755,15.8413,57.08271,30.59042,6.86518,6.604732,10.6601,30.4167,2.287879,21.5478
6,2012,Moldova,72.59741,17.2136,59.69696,34.49649,5.78621,5.160871,14.4996,24.3003,1.98252,22.80861
7,2013,Moldova,73.93753000000001,15.0036,62.418530000000004,37.83696,5.06583,3.915915,11.5774,23.3812,1.755555,23.07689
8,2014,Moldova,78.77571,13.1659,55.820719999999994,36.30717,5.29583,3.566812,11.729,13.918,1.572267,21.828310000000002
9,2015,Moldova,89.41219,16.6945,44.22124,33.27191,2.17853,5.39959,9.94714,26.3119,1.471326,19.88475
10,2016,Moldova,87.95727,17.3144,47.17576,33.10221,3.55001,6.552931,16.4052,29.7721,9.707657000000001,18.17783
11,2017,Moldova,87.88280999999999,17.097,57.09539,32.42559,4.5901,5.6142970000000005,18.3772,31.0306,8.690706,16.93806
12,2018,Moldova,87.00589000000001,17.1873,66.32053,32.21372,4.35667,4.919716,12.4917,26.5226,8.046933000000001,16.03983
13,2019,Moldova,86.23431,12.5544,60.651740000000004,31.831390000000003,3.64583,5.119842,8.49108,25.252,7.259864,15.9552
14,2020,Moldova,94.87215,..,58.19218000000001,37.69745,..,4.292257,..,..,7.297949000000001,15.7499
